Event	ID	Name			Wwise Object Path	Notes
	98052659	AudioEvent_Bookshelf_Break			\Default Work Unit\Objects\Bookshelf\AudioEvent_Bookshelf_Break	
	2439859385	AudioEvent_Bookshelf_Killer_Hit			\Default Work Unit\Objects\Bookshelf\AudioEvent_Bookshelf_Killer_Hit	
	2952515828	AudioEvent_Bookshelf_Kick			\Default Work Unit\Objects\Bookshelf\AudioEvent_Bookshelf_Kick	
	4130655081	AudioEvent_Bookshelf_Land			\Default Work Unit\Objects\Bookshelf\AudioEvent_Bookshelf_Land	Killer Loud Noise

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6661617	sfx_bookshelf_break_debris_far_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_break_debris_far_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Break\Bookshelf_Break_Debris_Far_01\sfx_bookshelf_break_debris_far_02		3944
	140997824	sfx_bookshelf_break_debris_far_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_break_debris_far_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Break\Bookshelf_Break_Debris_Far_02\sfx_bookshelf_break_debris_far_05		14653
	186708853	sfx_bookshelf_break_debris_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_break_debris_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Break\Bookshelf_Break_Debris\sfx_bookshelf_break_debris_01		17293
	244252400	sfx_bookshelf_break_debris_far_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_break_debris_far_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Break\Bookshelf_Break_Debris_Far_01\sfx_bookshelf_break_debris_far_03		8365
	264206656	sfx_bookshelf_break_crack_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_break_crack_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Kick\Bookshelf_Break_Crack\sfx_bookshelf_break_crack_03		3972
	286779138	sfx_bookshelf_break_debris_far_11	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_break_debris_far_11_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Break\Bookshelf_Break_Debris_Far_02\sfx_bookshelf_break_debris_far_11		9893
	324333042	sfx_bookshelf_land_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_land_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Land\sfx_bookshelf_land_03		22561
	324902453	sfx_bookshelf_break_crack_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_break_crack_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Kick\Bookshelf_Break_Crack\sfx_bookshelf_break_crack_02		6120
	330043129	sfx_bookshelf_break_debris_far_07	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_break_debris_far_07_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Break\Bookshelf_Break_Debris_Far_02\sfx_bookshelf_break_debris_far_07		10809
	365988243	sfx_bookshelf_land_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Bookshelf\sfx_bookshelf_land_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Bookshelf\Bookshelf_Land\sfx_bookshelf_land_01		18476
