Event	ID	Name			Wwise Object Path	Notes
	295718983	AudioEvent_Closet_Open_Slow			\Default Work Unit\Objects\Closet\AudioEvent_Closet_Open_Slow	
	739571416	AudioEvent_Closet_Close_Fast			\Default Work Unit\Objects\Closet\AudioEvent_Closet_Close_Fast	
	2002907799	AudioEvent_Closet_Machete_Impact			\Default Work Unit\Objects\Closet\AudioEvent_Closet_Machete_Impact	
	2113337978	AudioEvent_Closet_Open_Fast			\Default Work Unit\Objects\Closet\AudioEvent_Closet_Open_Fast	
	3353803681	AudioEvent_Closet_Close_Slow			\Default Work Unit\Objects\Closet\AudioEvent_Closet_Close_Slow	
	3537586541	AudioEvent_Closet_Squeak_Slow			\Default Work Unit\Objects\Closet\AudioEvent_Closet_Squeak_Slow	
	3632656684	AudioEvent_Closet_Squeak_Fast			\Default Work Unit\Objects\Closet\AudioEvent_Closet_Squeak_Fast	
	3686490337	AudioEvent_Closet_Machete_Remove			\Default Work Unit\Objects\Closet\AudioEvent_Closet_Machete_Remove	

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1147530	sfx_closet_squeak_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_squeak_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Squeaks_Fast\sfx_closet_squeak_04		9172
	225589733	sfx_closet_impact_wood_hit_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_impact_wood_hit_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Impact_Machete\Closet_Impact_Wood_Hit\sfx_closet_impact_wood_hit_04		3672
	290134086	sfx_closet_impact_wood_add_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_impact_wood_add_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Impact_Machete\Closet_Impact_Wood_Add\sfx_closet_impact_wood_add_01		5904
	350973611	sfx_closet_open_fast_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_open_fast_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Open_Fast\sfx_closet_open_fast_01		5297
	414009873	sfx_closet_impact_wood_hit_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_impact_wood_hit_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Impact_Machete\Closet_Impact_Wood_Hit\sfx_closet_impact_wood_hit_01		5801
	417984211	sfx_closet_close_fast_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_close_fast_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Close_Fast\sfx_closet_close_fast_01		7140
	459637357	sfx_closet_squeak_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_squeak_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Squeaks_Fast\sfx_closet_squeak_03		7190
	653578491	sfx_closet_open_slow_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_open_slow_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Open_Slow\sfx_closet_open_slow_01		7305
	667543860	sfx_closet_remove_machete_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_remove_machete_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Remove_Machete\sfx_closet_remove_machete_01		9982
	703346655	sfx_closet_squeak_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Closet\sfx_closet_squeak_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Closet\Closet_Squeaks_Fast\sfx_closet_squeak_02		6236
