Event	ID	Name			Wwise Object Path	Notes
	308821730	AudioEvent_Crow_Bomb			\Default Work Unit\Objects\Crow\AudioEvent_Crow_Bomb	
	963067359	AudioEvent_Crow_Flying			\Default Work Unit\Objects\Crow\AudioEvent_Crow_Flying	
	1688508931	AudioEvent_Crow_Wing			\Default Work Unit\Objects\Crow\AudioEvent_Crow_Wing	
	1757466089	AudioEvent_Crow_Fly			\Default Work Unit\Objects\Crow\AudioEvent_Crow_Fly	
	2408619222	AudioEvent_Crow_Scream_Exposer			\Default Work Unit\Objects\Crow\AudioEvent_Crow_Scream_Exposer	

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	72897404	sfx_crow_wing_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_wing_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Wings\sfx_crow_wing_03		3254
	108916029	sfx_crow_wing_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_wing_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Wings\sfx_crow_wing_02		4939
	125495483	sfx_crow_scream_10	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_10_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_10		2284
	146639195	sfx_crow_scream_06	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_06_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_06		7635
	204854679	sfx_crow_scream_08	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_08_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_08		3143
	214805445	sfx_crow_scream_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_05		5377
	217269192	sfx_crow_scream_04	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_04		4503
	227738408	sfx_crow_fly_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_fly_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Fly\sfx_crow_fly_01		25588
	244546345	sfx_crow_wing_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_wing_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Wings\sfx_crow_wing_01		4654
	292749429	sfx_crow_scream_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_01		4495
	311347391	sfx_crow_scream_09	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_09_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_09		3567
	408954391	sfx_crow_scream_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_03		4488
	513553456	sfx_crow_scream_07	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_07_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_07		4958
	519644451	sfx_crow_scream_11	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_11_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_11		7497
	522271598	sfx_crow_fly_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_fly_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Fly\sfx_crow_fly_02		13844
	728471514	sfx_crow_fly_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_fly_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Fly\sfx_crow_fly_03		18781
	972947885	sfx_crow_scream_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_scream_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Scream\sfx_crow_scream_02		3996

Streamed Audio	ID	Name	Audio source file	Generated audio file	Wwise Object Path	Notes
	201002641	sfx_crow_bomb_loop_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Crow\sfx_crow_bomb_loop_01_D78E037D.wem	201002641.wem	\Actor-Mixer Hierarchy\Default Work Unit\Objects\Crow\Crow_Bomb_Loop\sfx_crow_bomb_loop_01	

