Event	ID	Name			Wwise Object Path	Notes
	604822105	AudioEvent_Hatch_Close			\Default Work Unit\Objects\Hatch\AudioEvent_Hatch_Close	
	1737319563	AudioEvent_Hatch_Open			\Default Work Unit\Objects\Hatch\AudioEvent_Hatch_Open	
	3710271338	AudioEvent_Hatch_Close_Impact			\Default Work Unit\Objects\Hatch\AudioEvent_Hatch_Close_Impact	

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	108437726	sfx_hatch_open_squeak_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_open_squeak_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Open\Hatch_Open_Squeak\sfx_hatch_open_squeak_02		8251
	157302111	sfx_hatch_open_unlock_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_open_unlock_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Open\Hatch_Open_Unlock\sfx_hatch_open_unlock_04		3933
	158552890	sfx_hatch_open_unlock_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_open_unlock_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Open\Hatch_Open_Unlock\sfx_hatch_open_unlock_02		6008
	207895800	sfx_hatch_loop_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_loop_04_57FEB5FB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Open_Loop\sfx_hatch_loop_04		48652
	228558383	sfx_hatch_close_impact_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_close_impact_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Close_Impact\Hatch_Close_Impact\sfx_hatch_close_impact_04		14288
	346724348	sfx_hatch_open_squeak_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_open_squeak_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Open\Hatch_Open_Squeak\sfx_hatch_open_squeak_01		10599
	359757419	sfx_hatch_close_impact_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_close_impact_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Close_Impact\Hatch_Close_Impact\sfx_hatch_close_impact_01		10816
	477507316	sfx_hatch_close_impact_add_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_close_impact_add_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Close_Impact\Hatch_Close_Impact_Add\sfx_hatch_close_impact_add_01		15818
	513064776	sfx_hatch_open_close_lock_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_open_close_lock_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Open\Hatch_Close_Lock\sfx_hatch_open_close_lock_03		4696
	513756691	sfx_hatch_open_close_squeak_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_open_close_squeak_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Close\Hatch_Close_Squeak\sfx_hatch_open_close_squeak_01		7250
	548935189	sfx_hatch_close_impact_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_close_impact_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Close_Impact\Hatch_Close_Impact\sfx_hatch_close_impact_03		13211
	586209108	sfx_hatch_close_impact_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_close_impact_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Close_Impact\Hatch_Close_Impact\sfx_hatch_close_impact_05		19495
	626689753	sfx_hatch_open_close_lock_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_open_close_lock_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Open\Hatch_Close_Lock\sfx_hatch_open_close_lock_05		4786
	645804851	sfx_hatch_open_unlock_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_open_unlock_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Open\Hatch_Open_Unlock\sfx_hatch_open_unlock_01		7638
	794674287	sfx_hatch_close_impact_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Hatch\sfx_hatch_close_impact_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Hatch\Hatch_Close_Impact\Hatch_Close_Impact\sfx_hatch_close_impact_02		12491
