Event	ID	Name			Wwise Object Path	Notes
	496826928	AudioEvent_Blink_Cooldown			\Default Work Unit\Powers\Blink\AudioEvent_Blink_Cooldown	
	1796576142	AudioEvent_Blink_Charge_Stop			\Default Work Unit\Powers\Blink\AudioEvent_Blink_Charge_Stop	
	2035601446	AudioEvent_Blink_Disappear			\Default Work Unit\Powers\Blink\AudioEvent_Blink_Disappear	
	2287639924	AudioEvent_Blink_Appear			\Default Work Unit\Powers\Blink\AudioEvent_Blink_Appear	
	2888502499	AudioEvent_Blink_Charge			\Default Work Unit\Powers\Blink\AudioEvent_Blink_Charge	
	3166779460	AudioEvent_Blink_Ready			\Default Work Unit\Powers\Blink\AudioEvent_Blink_Ready	
	4076552701	AudioEvent_Blink_Warning			\Default Work Unit\Powers\Blink\AudioEvent_Blink_Warning	

State Group	ID	Name			Wwise Object Path	Notes
	4268632856	AudioStateGameplay			\Default Work Unit\AudioStateGameplay	

State	ID	Name	State Group			Notes
	748895195	None	AudioStateGameplay			
	1081280556	Killer	AudioStateGameplay			
	2071473003	Survivor	AudioStateGameplay			

Custom State	ID	Name	State Group	Owner		Notes
	499152851	Killer	AudioStateGameplay	\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts_Specific\Nurse_Blink_Start_Charging		
	580610377	Killer	AudioStateGameplay	\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts_Specific\Nurse_Blink_Start_Full		
	996313363	Survivor	AudioStateGameplay	\Actor-Mixer Hierarchy\Default Work Unit\Powers\Blink\Blink_Warning		

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	30646372	vo_killer_nurse_blink_charge_full_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\vo_killer_nurse_blink_charge_full_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts_Specific\Nurse_Blink_Start_Full\Nurse_Charge_Full\vo_killer_nurse_blink_charge_full_04		10962
	40889100	sfx_blink_appear_flash_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Blink\sfx_blink_appear_flash_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Blink\Blink_Warning\Blink_Appear_Flash\sfx_blink_appear_flash_03		15333
	58876754	sfx_blink_disappear_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Blink\sfx_blink_disappear_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Blink\Blink_Disappear\sfx_blink_disappear_02		38137
	69972452	sfx_blink_ready_loop_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Blink\sfx_blink_ready_loop_03_57FEB5FB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Blink\Blink_Ready_Loop\sfx_blink_ready_loop_03		31719
	72731342	vo_killer_nurse_teleport_appear_07	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\vo_killer_nurse_teleport_appear_07_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts_Specific\Nurse_Blink_Appear\Nurse_Teleport_Appear\vo_killer_nurse_teleport_appear_07\vo_killer_nurse_teleport_appear_07		12962
	101235081	sfx_blink_disappear_smoke_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Blink\sfx_blink_disappear_smoke_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Blink\Blink_Disappear\Blink_Disappear_Smoke\sfx_blink_disappear_smoke_05		5680
	112088972	vo_killer_nurse_teleport_appear_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\vo_killer_nurse_teleport_appear_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts_Specific\Nurse_Blink_Appear\Nurse_Teleport_Appear\vo_killer_nurse_teleport_appear_04\vo_killer_nurse_teleport_appear_04		19709
	113583202	sfx_bonesaw_attack_killer_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\BoneSaw\sfx_bonesaw_attack_killer_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\BoneSaw_Attack\BoneSaw_Attack_Killer\sfx_bonesaw_attack_killer_05		6130
	129257742	vo_killer_nurse_grunt_hurt_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\vo_killer_nurse_grunt_hurt_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Grunt_Hurt\Grunt_Hurt_Nurse\Grunt_Hurt_Nurse\vo_killer_nurse_grunt_hurt_03		14061
	144652931	sfx_bonesaw_arm_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\BoneSaw\sfx_bonesaw_arm_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Arm\BoneSaw_Arm\BoneSaw_Arm\sfx_bonesaw_arm_03		2482
