Event	ID	Name			Wwise Object Path	Notes
	501103667	AudioEvent_BearTrap_Dissarm			\Default Work Unit\Powers\BearTrap\AudioEvent_BearTrap_Dissarm	
	1233600463	AudioEvent_BearTrap_Activate			\Default Work Unit\Powers\BearTrap\AudioEvent_BearTrap_Activate	
	2593865251	AudioEvent_BearTrap_Drop			\Default Work Unit\Powers\BearTrap\AudioEvent_BearTrap_Drop	
	2742437780	AudioEvent_BearTrap_Open			\Default Work Unit\Powers\BearTrap\AudioEvent_BearTrap_Open	
	3338379880	AudioEvent_BearTrap_Snap			\Default Work Unit\Powers\BearTrap\AudioEvent_BearTrap_Snap	
	3792792954	AudioEvent_BearTrap_Grab			\Default Work Unit\Powers\BearTrap\AudioEvent_BearTrap_Grab	
	3955771135	AudioEvent_BearTrap_Desactivate			\Default Work Unit\Powers\BearTrap\AudioEvent_BearTrap_Desactivate	

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7045067	sfx_machete_attack_killer_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_attack_killer_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\Machete_Attack\Machete_Attack_Killer\sfx_machete_attack_killer_03		6869
	7658501	sfx_beartrap_drop_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_drop_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Drop\BearTrap_Drop\sfx_beartrap_drop_05		5045
	30206254	sfx_beartrap_open_06	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_open_06_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Activate\BearTrap_Open\sfx_beartrap_open_06		8730
	36369038	sfx_beartrap_grab_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_grab_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Grab\BearTrap_Grab\sfx_beartrap_grab_04		3798
	94159993	sfx_beartrap_close_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_close_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Desactivate\BearTrap_Close\sfx_beartrap_close_01		5513
	123142751	sfx_machete_Attack_Slice_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_Attack_Slice_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\Machete_Attack\Machete_Attack_Slice\sfx_machete_Attack_Slice_01		4745
	123865634	sfx_machete_attack_add_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_attack_add_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\Machete_Attack\Machete_Attack_Add\sfx_machete_attack_add_03		6568
	134373325	sfx_machete_attack_survivor_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_attack_survivor_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\Machete_Attack\Machete_Attack_Survivor\sfx_machete_attack_survivor_01		3088
	138664242	sfx_beartrap_close_hit_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_close_hit_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Snap\BearTrap_Snap\BearTrap_Close_Hit\sfx_beartrap_close_hit_01		2823
	151477376	sfx_beartrap_drop_07	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_drop_07_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Drop\BearTrap_Drop\sfx_beartrap_drop_07		3567
	156615286	sfx_machete_pull_out_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_pull_out_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Pull_Out\Machete_Pull_Out\Machete_Pull_Out\sfx_machete_pull_out_01		2979
	166820781	sfx_beartrap_close_snap_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_close_snap_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Snap\BearTrap_Snap\BearTrap_Close_Snap\sfx_beartrap_close_snap_03		6956
	168410265	sfx_machete_clean_metal_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_clean_metal_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Clean\Machete_Clean\Machete_Clean_Metal\sfx_machete_clean_metal_02		8029
	170028016	sfx_beartrap_grab_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_grab_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Grab\BearTrap_Grab\sfx_beartrap_grab_01		4476
	172816078	sfx_beartrap_close_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_close_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Desactivate\BearTrap_Close\sfx_beartrap_close_02		3919
	174169134	sfx_beartrap_grab_chain_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_grab_chain_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Drop\BeatTrap_Grab_Chain\sfx_beartrap_grab_chain_03		9724
	180423765	sfx_machete_pull_out_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_pull_out_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Pull_Out\Machete_Pull_Out\Machete_Pull_Out\sfx_machete_pull_out_02		3658
	184717400	vo_killer_checkles_grunt_hurt_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Checkles\vo_killer_checkles_grunt_hurt_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Grunt_Hurt\Grunt_Hurt_Chuckles\Grunt_Hurt_Chuckles\vo_killer_checkles_grunt_hurt_01		9354
	196605880	sfx_machete_clean_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_clean_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Clean\Machete_Clean\Machete_Clean_Blood\sfx_machete_clean_02		14580
	197814626	sfx_beartrap_close_metal_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_close_metal_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Snap\BearTrap_Snap\BearTrap_Close_Metal\sfx_beartrap_close_metal_01		4853
	213121774	vo_killer_checkles_grunt_hurt_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Checkles\vo_killer_checkles_grunt_hurt_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Grunt_Hurt\Grunt_Hurt_Chuckles\Grunt_Hurt_Chuckles\vo_killer_checkles_grunt_hurt_02		7819
	213362647	sfx_beartrap_open_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_open_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Activate\BearTrap_Open\sfx_beartrap_open_05		4580
	214825918	sfx_beartrap_dissarm_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\BearTrap\sfx_beartrap_dissarm_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\BearTrap\BearTrap_Dissarm\BearTrap_Dissarm\sfx_beartrap_dissarm_01		4516
	221917569	sfx_machete_Attack_Scissor_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_Attack_Scissor_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\Machete_Attack\Machete_Attack_Scissor\sfx_machete_Attack_Scissor_02		2906
	259639506	sfx_machete_arm_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Machete\sfx_machete_arm_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Arm\Machete_Arm\Machete_Arm\sfx_machete_arm_02		3658
