Event	ID	Name			Wwise Object Path	Notes
	504847747	AudioEvent_Killer_Invisibility_ON_Effect			\Default Work Unit\Powers\InvisibilityBell\AudioEvent_Killer_Invisibility_ON_Effect	
	1668221091	AudioEvent_Invisibility_Bell_Burn			\Default Work Unit\Powers\InvisibilityBell\AudioEvent_Invisibility_Bell_Burn	
	1732742408	AudioEvent_Invisibility_Bell_Single			\Default Work Unit\Powers\InvisibilityBell\AudioEvent_Invisibility_Bell_Single	
	1880022441	AudioEvent_Killer_Invisibility_OFF			\Default Work Unit\Powers\InvisibilityBell\AudioEvent_Killer_Invisibility_OFF	
	2704000846	AudioEvent_Invisibility_Bell_Burn_Stop			\Default Work Unit\Powers\InvisibilityBell\AudioEvent_Invisibility_Bell_Burn_Stop	
	3281725351	AudioEvent_Killer_Invisibility_OFF_Effect			\Default Work Unit\Powers\InvisibilityBell\AudioEvent_Killer_Invisibility_OFF_Effect	
	3507439709	AudioEvent_Killer_Invisibility_ON			\Default Work Unit\Powers\InvisibilityBell\AudioEvent_Killer_Invisibility_ON	
	3943849876	AudioEvent_Killer_Invisibility_Burn_Out			\Default Work Unit\Powers\InvisibilityBell\AudioEvent_Killer_Invisibility_Burn_Out	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	10907943	sfx_macheteskull_clean_metal_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\MacheteSkull\sfx_macheteskull_clean_metal_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Clean\MacheteSkull_Clean\MacheteSkull_Clean_Metal\sfx_macheteskull_clean_metal_01		5839
	15789848	sfx_killer_invisibility_bell_rock_hit_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killers\Actions\sfx_killer_invisibility_bell_rock_hit_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\InvisibilityBell\Invisibility_Bell_Shaman\Invisibility_Bell_Ring\Invisibility_Bell_Rock_Hit\sfx_killer_invisibility_bell_rock_hit_05		15062
	38113067	sfx_killer_invisibility_burn_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killers\Actions\sfx_killer_invisibility_burn_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\InvisibilityBell\Invisibility_Burn\Invisibility_Burn\sfx_killer_invisibility_burn_02		22253
	40446231	sfx_macheteskull_attack_killer_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\MacheteSkull\sfx_macheteskull_attack_killer_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\MacheteSkull_Attack\Machete_Attack_Killer\sfx_macheteskull_attack_killer_03		6869
	59444743	sfx_macheteskull_attack_killer_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\MacheteSkull\sfx_macheteskull_attack_killer_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\MacheteSkull_Attack\Machete_Attack_Killer\sfx_macheteskull_attack_killer_01		6169
	85034089	sfx_macheteskull_bones_08	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\MacheteSkull\sfx_macheteskull_bones_08_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Arm\MacheteSkull_Arm\MacheteSkull_Bones\sfx_macheteskull_bones_08		3159
	93999926	sfx_macheteskull_clean_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\MacheteSkull\sfx_macheteskull_clean_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Clean\MacheteSkull_Clean\MacheteSkull_Clean_Blood\sfx_macheteskull_clean_02		14580
	117462414	sfx_macheteskull_attack_killer_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\MacheteSkull\sfx_macheteskull_attack_killer_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\MacheteSkull_Attack\Machete_Attack_Killer\sfx_macheteskull_attack_killer_04		4975
	119599896	vo_killer_banshee_grunt_hurt_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Banshee\vo_killer_banshee_grunt_hurt_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Grunt_Hurt\Grunt_Hurt_Banshee\Grunt_Hurt_Banshee\vo_killer_banshee_grunt_hurt_04		9358
	127678347	sfx_macheteskull_bones_20	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\MacheteSkull\sfx_macheteskull_bones_20_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Arm\MacheteSkull_Arm\MacheteSkull_Bones\sfx_macheteskull_bones_20		2161
