In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	287088333	sfx_killer_nurse_normal_breath_07	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\sfx_killer_nurse_normal_breath_07_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States_UI\Nurse_States_Menu\Nurse_Normal\sfx_killer_nurse_normal_breath_07		12467
	402068546	sfx_killer_nurse_normal_breath_08	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\sfx_killer_nurse_normal_breath_08_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States_UI\Nurse_States_Menu\Nurse_Normal\sfx_killer_nurse_normal_breath_08		12635
	492563904	sfx_killer_nurse_normal_breath_06	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\sfx_killer_nurse_normal_breath_06_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States_UI\Nurse_States_Menu\Nurse_Normal\sfx_killer_nurse_normal_breath_06		13708
	498052139	sfx_killer_nurse_normal_breath_04	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\sfx_killer_nurse_normal_breath_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States_UI\Nurse_States_Menu\Nurse_Normal\sfx_killer_nurse_normal_breath_04		18803
	512975586	sfx_killer_nurse_normal_breath_09	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\sfx_killer_nurse_normal_breath_09_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States_UI\Nurse_States_Menu\Nurse_Normal\sfx_killer_nurse_normal_breath_09		14002
	927568428	sfx_killer_nurse_normal_breath_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\sfx_killer_nurse_normal_breath_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States_UI\Nurse_States_Menu\Nurse_Normal\sfx_killer_nurse_normal_breath_03		11585
	974079149	sfx_killer_nurse_normal_breath_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\sfx_killer_nurse_normal_breath_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States_UI\Nurse_States_Menu\Nurse_Normal\sfx_killer_nurse_normal_breath_01		29997
	980844775	sfx_killer_nurse_normal_breath_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\sfx_killer_nurse_normal_breath_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States_UI\Nurse_States_Menu\Nurse_Normal\sfx_killer_nurse_normal_breath_05		22673
	994690182	sfx_killer_nurse_normal_breath_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Nurse\sfx_killer_nurse_normal_breath_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States_UI\Nurse_States_Menu\Nurse_Normal\sfx_killer_nurse_normal_breath_02		35996

