Event	ID	Name			Wwise Object Path	Notes
	384265768	AudioEvent_Stalk_Warning_Off			\Default Work Unit\Powers\Stalk\AudioEvent_Stalk_Warning_Off	
	1026953698	AudioEvent_Stalk_Warning			\Default Work Unit\Powers\Stalk\AudioEvent_Stalk_Warning	
	2266285601	AudioEvent_Stalk_ON			\Default Work Unit\Powers\Stalk\AudioEvent_Stalk_ON	
	2760063061	AudioEvent_Stalk_Completed			\Default Work Unit\Powers\Stalk\AudioEvent_Stalk_Completed	
	3035922738	AudioEvent_Stalk_Warning_On			\Default Work Unit\Powers\Stalk\AudioEvent_Stalk_Warning_On	
	3434491341	AudioEvent_Stalk_Lv1			\Default Work Unit\Powers\Stalk\AudioEvent_Stalk_Lv1	
	3434491342	AudioEvent_Stalk_Lv2			\Default Work Unit\Powers\Stalk\AudioEvent_Stalk_Lv2	
	3467899629	AudioEvent_Stalk_OFF			\Default Work Unit\Powers\Stalk\AudioEvent_Stalk_OFF	

State Group	ID	Name			Wwise Object Path	Notes
	4268632856	AudioStateGameplay			\Default Work Unit\AudioStateGameplay	

State	ID	Name	State Group			Notes
	748895195	None	AudioStateGameplay			
	1081280556	Killer	AudioStateGameplay			
	2071473003	Survivor	AudioStateGameplay			

Custom State	ID	Name	State Group	Owner		Notes
	405099628	Survivor	AudioStateGameplay	\Actor-Mixer Hierarchy\Default Work Unit\Powers\Stalk\Stalk_ON		
	485855006	Killer	AudioStateGameplay	\Actor-Mixer Hierarchy\Default Work Unit\Powers\Stalk\Stalk_Warning		
	975190023	Survivor	AudioStateGameplay	\Actor-Mixer Hierarchy\Default Work Unit\Powers\Stalk\Stalk_OFF		

Game Parameter	ID	Name			Wwise Object Path	Notes
	2541018037	AudioRTPC_Stalk_Warning			\Default Work Unit\AudioRTPC_Stalk_Warning	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	62327273	vo_killer_stalker_grunt_hurt_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Stalker\vo_killer_stalker_grunt_hurt_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Grunt_Hurt\Grunt_Hurt_Stalker\Grunt_Hurt_Stalker\vo_killer_stalker_grunt_hurt_04		7654
	108915157	sfx_stalk_on_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Stalk\sfx_stalk_on_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Stalk\Stalk_ON\sfx_stalk_on_01		28086
	120122665	mu_special_stalker_warning_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Music\mu_special_stalker_warning_01_D78E037D.wem		\Interactive Music Hierarchy\Default Work Unit\Stingers\Music_Special_Stalker_Warning\mu_special_stalker_warning_01\mu_special_stalker_warning_01		121340
	130397211	sfx_knife_attack_survivor_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Knife\sfx_knife_attack_survivor_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\Knife_Attack\Knife_Attack_Survivor\sfx_knife_attack_survivor_03		3178
	170943026	mu_special_stalk_lv2_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Music\mu_special_stalk_lv2_01_D78E037D.wem		\Interactive Music Hierarchy\Default Work Unit\Stingers\Music_Special_Stalker_Lvl2\mu_special_stalk_lv2_01\mu_special_stalk_lv2_01		151605
	186076858	vo_killer_stalker_grunt_hurt_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Stalker\vo_killer_stalker_grunt_hurt_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts\Grunt_Hurt\Grunt_Hurt_Stalker\Grunt_Hurt_Stalker\vo_killer_stalker_grunt_hurt_01		6917
	205035360	sfx_knife_arm_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Knife\sfx_knife_arm_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Arm\Knife_Arm\Knife_Arm\sfx_knife_arm_03		2482
	280972606	sfx_stalk_off_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Stalk\sfx_stalk_off_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Stalk\Stalk_OFF\sfx_stalk_off_01		18962
	297068402	sfx_knife_attack_add_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Knife\sfx_knife_attack_add_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\Knife_Attack\Knife_Attack_Add\sfx_knife_attack_add_03		5335
	330846269	sfx_stalk_on_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Stalk\sfx_stalk_on_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Stalk\Stalk_ON\sfx_stalk_on_02		16946
