Event	ID	Name			Wwise Object Path	Notes
	57685806	AudioEvent_Chainsaw_Cannibal_Hit_Wall			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Hit_Wall	
	767964435	AudioEvent_Chainsaw_Cannibal_Rev			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Rev	
	926684376	AudioEvent_Chainsaw_Cannibal_Start			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Start	
	1158756250	AudioEvent_Chainsaw_Cannibal_Idle			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Idle	
	1919296220	AudioEvent_Chainsaw_Cannibal_Hit_Survivor_Special			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Hit_Survivor_Special	
	2439225420	AudioEvent_Chainsaw_Cannibal_Hit_Survivor			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Hit_Survivor	
	2689366611	AudioEvent_Chainsaw_Cannibal_Hit_Object			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Hit_Object	
	3155677262	AudioEvent_Chainsaw_Cannibal_Swing			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Swing	
	3415013186	AudioEvent_Chainsaw_Cannibal_Cancel			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Cancel	
	3742453264	AudioEvent_Chainsaw_Cannibal_Charge			\Default Work Unit\Powers\Chainsaw_Cannibal\AudioEvent_Chainsaw_Cannibal_Charge	

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	24326020	sfx_weapon_sledgehammer_arm_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\SledgeHammer\sfx_weapon_sledgehammer_arm_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Arm\SledgeHammer_Arm\SledgeHammer_Arm\sfx_weapon_sledgehammer_arm_01		4385
	34251117	sfx_chainsaw_cannibal_rev_add_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Chainsaw_Cannibal\sfx_chainsaw_cannibal_rev_add_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Chainsaw_Cannibal\Chainsaw_Cannibal_Rev_Single\Chainsaw_Cannibal_Rev_Add\sfx_chainsaw_cannibal_rev_add_01		29634
	81407336	sfx_chainsaw_cannibal_hit_wall_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Chainsaw_Cannibal\sfx_chainsaw_cannibal_hit_wall_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Chainsaw_Cannibal\Chainsaw_Cannibal_Attack_Hit_Wall\Chainsaw_Attack_Hit_Wall\sfx_chainsaw_cannibal_hit_wall_02		7822
	86443328	sfx_weapon_sledgehammer_attack_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\SledgeHammer\sfx_weapon_sledgehammer_attack_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\SledgeHammer_Attack\SledgeHammer_Attack\sfx_weapon_sledgehammer_attack_03		18005
	101746495	sfx_chainsaw_cannibal_rev_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Chainsaw_Cannibal\sfx_chainsaw_cannibal_rev_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Chainsaw_Cannibal\Chainsaw_Cannibal_Rev_Single\Chainsaw_Attack_Rev_Single\sfx_chainsaw_cannibal_rev_01		14663
	126971655	sfx_chainsaw_cannibal_hit_wall_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Chainsaw_Cannibal\sfx_chainsaw_cannibal_hit_wall_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Chainsaw_Cannibal\Chainsaw_Cannibal_Attack_Hit_Wall\Chainsaw_Attack_Hit_Wall\sfx_chainsaw_cannibal_hit_wall_01		17578
	157712135	sfx_chainsaw_cannibal_rev_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Chainsaw_Cannibal\sfx_chainsaw_cannibal_rev_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Chainsaw_Cannibal\Chainsaw_Cannibal_Rev_Single\Chainsaw_Attack_Rev_Single\sfx_chainsaw_cannibal_rev_05		17272
	167943669	sfx_weapon_sledgehammer_attack_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\SledgeHammer\sfx_weapon_sledgehammer_attack_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Weapon_Attack\SledgeHammer_Attack\SledgeHammer_Attack\sfx_weapon_sledgehammer_attack_05		9489
	222383774	vo_killer_cannibal_grunt_hurt_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_grunt_hurt_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts_Specific\Cannibal_SpecialKill\Cannibal_Special_Grunt\Grunt_Hurt_Cannibal\vo_killer_cannibal_grunt_hurt_01		7558
	233688877	sfx_chainsaw_cannibal_rev_09	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Chainsaw_Cannibal\sfx_chainsaw_cannibal_rev_09_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Powers\Chainsaw_Cannibal\Chainsaw_Cannibal_Rev_Single\Chainsaw_Attack_Rev_Single\sfx_chainsaw_cannibal_rev_09		15178
