Event	ID	Name			Wwise Object Path	Notes
	2317944504	AudioEvent_Killer_Menu_Cannibal			\Default Work Unit\Characters\Killer\GameStart\AudioEvent_Killer_Menu_Cannibal	

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	24533162	vo_killer_cannibal_chase_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_chase_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Crazy\vo_killer_cannibal_chase_01		105014
	101287026	vo_killer_cannibal_chase_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_chase_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Crazy\vo_killer_cannibal_chase_04		65400
	123893358	vo_killer_cannibal_normal_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_normal_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Normal\vo_killer_cannibal_normal_01		12672
	266362380	vo_killer_cannibal_normal_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_normal_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Normal\vo_killer_cannibal_normal_02		13368
	535046021	vo_killer_cannibal_chase_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_chase_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Crazy\vo_killer_cannibal_chase_02		141043
	616231583	vo_killer_cannibal_normal_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_normal_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Normal\vo_killer_cannibal_normal_05		10660
	633463491	sfx_cannibal_idle_menu_loop_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Chainsaw_Cannibal\sfx_cannibal_idle_menu_loop_01_57FEB5FB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Interactions_Specific\Cannibal_Idle_Loop_Menu\sfx_cannibal_idle_menu_loop_01		59766
	646025029	sfx_cannibal_idle_menu_loop_02	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Powers\Chainsaw_Cannibal\sfx_cannibal_idle_menu_loop_02_57FEB5FB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Interactions_Specific\Cannibal_Idle_Loop_Menu\sfx_cannibal_idle_menu_loop_02		29818
	905424344	vo_killer_cannibal_normal_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_normal_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Normal\vo_killer_cannibal_normal_03		13735
	983798574	vo_killer_cannibal_chase_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_chase_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Crazy\vo_killer_cannibal_chase_05		132753
	1021485385	vo_killer_cannibal_chase_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_chase_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Crazy\vo_killer_cannibal_chase_03		96343
	1060461349	vo_killer_cannibal_chase_06	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_chase_06_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Crazy\vo_killer_cannibal_chase_06		163019
	1070892626	vo_killer_cannibal_normal_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Cannibal\vo_killer_cannibal_normal_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Cannibal_States\Normal\vo_killer_cannibal_normal_04		12442

