Event	ID	Name			Wwise Object Path	Notes
	1723418460	AudioEvent_Killer_10_Idle_Menu			\Default Work Unit\Characters\Killer\Interactions_Specific\AudioEvent_Killer_10_Idle_Menu	
	3627075653	AudioEvent_Killer_Menu_Killer_10			\Default Work Unit\Characters\Killer\GameStart\AudioEvent_Killer_Menu_Killer_10	

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	26405389	vo_killer_sandman_crazy_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Sandman\vo_killer_sandman_crazy_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Killer_10_States\Crazy\vo_killer_sandman_crazy_03		30603
	156973053	vo_killer_sandman_breath_07	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Sandman\vo_killer_sandman_breath_07_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Killer_10_States\Normal\vo_killer_sandman_breath_07		40491
	161650005	sfx_killer_10_weapon_idle_menu_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Killer_10_Weapon\sfx_killer_10_weapon_idle_menu_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Interactions_Specific\Killer_10_Idle_Menu\Killer_10_Weapon_Idle_Menu\sfx_killer_10_weapon_idle_menu_02		9756
	187294029	vo_killer_sandman_breath_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Sandman\vo_killer_sandman_breath_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Killer_10_States\Normal\vo_killer_sandman_breath_02		52346
	218878933	vo_killer_sandman_breath_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Sandman\vo_killer_sandman_breath_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Killer_10_States\Normal\vo_killer_sandman_breath_01		50439
	229890980	vo_killer_sandman_breath_06	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Sandman\vo_killer_sandman_breath_06_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Killer_10_States\Normal\vo_killer_sandman_breath_06		37763
	256893520	vo_killer_sandman_crazy_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Sandman\vo_killer_sandman_crazy_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\States\Killer_States\Killer_10_States\Crazy\vo_killer_sandman_crazy_02		19733
	403933531	vo_killer_sandman_laugh_menu_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Sandman\vo_killer_sandman_laugh_menu_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts_Specific\Killer_10_Menu\Killer_10_Menu\vo_killer_sandman_laugh_menu_01		30302
	406822693	sfx_killer_10_weapon_idle_menu_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Weapons\Killer_10_Weapon\sfx_killer_10_weapon_idle_menu_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Interactions_Specific\Killer_10_Idle_Menu\Killer_10_Weapon_Idle_Menu\sfx_killer_10_weapon_idle_menu_03		9927
	483575667	vo_killer_sandman_laugh_menu_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Killer_Sandman\vo_killer_sandman_laugh_menu_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Killer\Grunts_Specific\Killer_10_Menu\Killer_10_Menu\vo_killer_sandman_laugh_menu_02		47907
