In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	400648	vo_nea_dying_breath_10	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_dying_breath_10_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Nea_States\Dying\Dying_Breath\vo_nea_dying_breath_10		13801
	2881929	vo_nea_running_breath_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_running_breath_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Nea_States\Running\vo_nea_running_breath_01		9938
	13242123	vo_nea_captured_hurt_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_captured_hurt_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Nea_States\Captured\Captured_Hurt\vo_nea_captured_hurt_03		10925
	31871662	vo_nea_injured_cry_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_injured_cry_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Nea_States\Injured\Injured_Cry\vo_nea_injured_cry_04		8653
	34804355	vo_nea_dying_breath_12	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_dying_breath_12_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Nea_States\Dying\Dying_Breath\vo_nea_dying_breath_12		16399
	36197899	vo_nea_dying_cry_01	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_dying_cry_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Nea_States\Dying\Dying_Cry\vo_nea_dying_cry_01		8090
	37376757	vo_nea_scream_long_05	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_scream_long_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Scream_Long\Nea_Scream_Long\vo_nea_scream_long_05\vo_nea_scream_long_05		41762
	42590221	vo_nea_captured_cry_03	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_captured_cry_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Nea_States\Captured\Captured_Cry\vo_nea_captured_cry_03		11649
	43952608	vo_nea_injured_hurt_04	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_injured_hurt_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Nea_States\Injured\Injured_Hurt\vo_nea_injured_hurt_04		11466
	46929039	vo_nea_injured_hurt_07	Z:\fpoirier_dbd_Wwise\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Nea\vo_nea_injured_hurt_07_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Nea_States\Injured\Injured_Hurt\vo_nea_injured_hurt_07		13939
