In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3057801	vo_jake_scream_short_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_scream_short_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Scream_Short\Jake_Scream_Short\vo_jake_scream_short_03		5990
	6842388	vo_jake_hurt_hard_06	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hurt_hard_06_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Hurt_Hard\Jake_Hurt_Hard\vo_jake_hurt_hard_06		20706
	14269471	vo_jake_effort_hard_04	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_effort_hard_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Effort_Hard\Jake_Effort_Hard\vo_jake_effort_hard_04		15419
	21096596	vo_jake_hurt_hard_19	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hurt_hard_19_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Hurt_Hard\Jake_Hurt_Hard\vo_jake_hurt_hard_19		33862
	21571662	vo_jake_effort_hard_14	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_effort_hard_14_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Effort_Hard\Jake_Effort_Hard\vo_jake_effort_hard_14		12898
	25479767	vo_jake_land_hard_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_land_hard_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Land_Hard\Jake_Land_Hard\vo_jake_land_hard_02		16400
	31601965	vo_jake_scream_short_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_scream_short_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Scream_Short\Jake_Scream_Short\vo_jake_scream_short_05		5350
	40190830	vo_jake_effort_light_11	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_effort_light_11_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Effort_Light\Jake_Effort_Light\vo_jake_effort_light_11		7189
	41823410	vo_jake_hurt_hard_10	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hurt_hard_10_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Hurt_Hard\Jake_Hurt_Hard\vo_jake_hurt_hard_10		19962
	54919793	vo_jake_running_10	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_running_10_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Running\vo_jake_running_10		5731
	56049249	vo_jake_hooked_effort_06	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hooked_effort_06_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Hooked\Hooked_Effort\vo_jake_hooked_effort_06		5794
	56737339	vo_jake_effort_hard_06	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_effort_hard_06_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Effort_Hard\Jake_Effort_Hard\vo_jake_effort_hard_06		18539
	59020620	vo_jake_hooked_hurt_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hooked_hurt_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Hooked\Hooked_Hurt\vo_jake_hooked_hurt_05		23040
	67735646	vo_jake_injured_hurt_13	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_injured_hurt_13_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Injured\Injured_Hurt\vo_jake_injured_hurt_13		7848
	68117239	vo_jake_land_hard_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_land_hard_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Land_Hard\Jake_Land_Hard\vo_jake_land_hard_05		14629
	70785868	vo_jake_dead_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_dead_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Dead\vo_jake_dead_01		17953
	73933254	vo_jake_hooked_effort_08	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hooked_effort_08_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Hooked\Hooked_Effort\vo_jake_hooked_effort_08		5463
	83062434	vo_jake_land_hard_08	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_land_hard_08_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Land_Hard\Jake_Land_Hard\vo_jake_land_hard_08		8864
	95924645	vo_jake_hurt_hard_18	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hurt_hard_18_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Hurt_Hard\Jake_Hurt_Hard\vo_jake_hurt_hard_18		21971
	103846373	vo_jake_hooked_cry_12	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hooked_cry_12_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Hooked\Hooked_Cry\vo_jake_hooked_cry_12		5023
	107806110	vo_jake_normal_11	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_normal_11_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Normal\vo_jake_normal_11		15400
	114447579	vo_jake_hooked_effort_07	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hooked_effort_07_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Hooked\Hooked_Effort\vo_jake_hooked_effort_07		5649
	118543765	vo_jake_hooked_effort_15	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hooked_effort_15_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Hooked\Hooked_Effort\vo_jake_hooked_effort_15		11491
	119126475	vo_jake_hooked_effort_18	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hooked_effort_18_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Hooked\Hooked_Effort\vo_jake_hooked_effort_18		8638
	123358678	vo_jake_hurt_hard_14	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hurt_hard_14_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Hurt_Hard\Jake_Hurt_Hard\vo_jake_hurt_hard_14		23610
	134408115	vo_jake_dead_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_dead_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Dead\vo_jake_dead_03		15584
	135858947	vo_jake_dead_04	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_dead_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Dead\vo_jake_dead_04		17090
	143795621	vo_jake_land_hard_09	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_land_hard_09_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\Grunts\Land_Hard\Jake_Land_Hard\vo_jake_land_hard_09		10081
	147641531	vo_jake_injured_hurt_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_injured_hurt_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Injured\Injured_Hurt\vo_jake_injured_hurt_02		7251
	149151004	vo_jake_hooked_effort_17	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Characters\Jake\vo_jake_hooked_effort_17_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Characters\Survivor\States\Survivor_States\Jake_States\Hooked\Hooked_Effort\vo_jake_hooked_effort_17		8854
