Event	ID	Name			Wwise Object Path	Notes
	974426159	AudioEvent_Totem_Fire_Stop			\Default Work Unit\Objects\Totem\AudioEvent_Totem_Fire_Stop	
	981871514	AudioEvent_Totem_Destroy			\Default Work Unit\Objects\Totem\AudioEvent_Totem_Destroy	
	2205015021	AudioEvent_Totem_Fire_Start			\Default Work Unit\Objects\Totem\AudioEvent_Totem_Fire_Start	
	4228521480	AudioEvent_Totem_Sabotage			\Default Work Unit\Objects\Totem\AudioEvent_Totem_Sabotage	

Game Parameter	ID	Name			Wwise Object Path	Notes
	4096507154	AudioRTPC_Listener_Angle_Object_Relative			\Default Work Unit\AudioRTPC_Listener_Angle_Object_Relative	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1140447	sfx_totem_sabotage_04	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_sabotage_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Sabotage\Totem_Sabotage\sfx_totem_sabotage_04		7332
	49562503	sfx_totem_break_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_break_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Destroy\Totem_Break_01\sfx_totem_break_03		8692
	55918615	sfx_totem_sabotage_bones_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_sabotage_bones_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Sabotage\Totem_Sabotage_Bones\sfx_totem_sabotage_bones_05		4827
	64670477	sfx_totem_sabotage_bones_06	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_sabotage_bones_06_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Sabotage\Totem_Sabotage_Bones\sfx_totem_sabotage_bones_06		13633
	71185560	sfx_totem_destroy_02	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_destroy_02_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Destroy\sfx_totem_destroy_02		13047
	82741465	sfx_totem_sabotage_03	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_sabotage_03_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Sabotage\Totem_Sabotage\sfx_totem_sabotage_03		6395
	147577407	sfx_totem_break_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_break_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Destroy\Totem_Break_02\sfx_totem_break_05		11520
	165299492	sfx_totem_bones_05	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_bones_05_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Destroy\Totem_Bones_02\sfx_totem_bones_05		4682
	190849166	sfx_totem_destroy_01	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_destroy_01_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Destroy\sfx_totem_destroy_01		10212
	215717333	sfx_totem_sabotage_bones_04	Z:\DeadByDaylight_Unreal\DeadByDaylight\Content_Raw\Wwise\.cache\Windows\SFX\Objects\Totem\sfx_totem_sabotage_bones_04_5442F26D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Totem\Totem_Sabotage\Totem_Sabotage_Bones\sfx_totem_sabotage_bones_04		11359
